"id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","circ_tronco_cm_cat"
32462,"Morera","26/05/2011 09:50","Alto (> 8 mts)",165,"Grande",-68.8518134991,-32.8884706909,5,"Residencial Sur",2423808.92355,0,"muy alto"
8357,"Morera","03/02/2011 17:52","Medio (4 - 8 mts)",108,"Grande",-68.8404064377,-32.9022449278,2,"Barrio Civico",2366816.36021,1,"medio"
40732,"Morera","15/04/2011 12:28","Alto (> 8 mts)",185,"Grande",-68.8430031662,-32.8844251605,1,"Parque Central",1655357.93265,1,"muy alto"
43328,"Fresno americano","05/10/2011 11:49","Alto (> 8 mts)",80,"Grande",-68.832387771,-32.8791613494,4,"Cuarta Este Área Fundacional",1822015.85685,1,"medio"
29889,"Acacia SP","11/03/2011 10:22","Alto (> 8 mts)",142,"Grande",-68.8410898369,-32.8916506845,2,"Barrio Civico",2366816.36021,0,"alto"
41982,"Olmo bola","25/04/2011 12:04","Alto (> 8 mts)",160,"Grande",-68.8372905342,-32.8799022522,1,"Parque Central",1655357.93265,0,"muy alto"
18258,"Palo borracho","08/08/2011 09:46","Bajo (2 - 4 mts)",70,"Grande",-68.839083392,-32.8689070645,4,"Cuarta Oeste",1173332.70145,0,"medio"
19799,"Morera","08/08/2011 10:42","Alto (> 8 mts)",168,"Grande",-68.8352207462,-32.8643651672,4,"Cuarta Oeste",1173332.70145,0,"muy alto"
38322,"Paraiso","09/11/2010 10:33","Alto (> 8 mts)",190,"Grande",-68.8531108892,-32.8696927109,6,"Residencial Norte",2694682.37982,0,"muy alto"
47992,"Morera","31/08/2011 09:39","Alto (> 8 mts)",122,"Grande",-68.8257893026,-32.8697010529,4,"Cuarta Este Área Fundacional",1822015.85685,0,"alto"
7838,"Acacia SP","10/06/2011 09:11","Medio (4 - 8 mts)",100,"Grande",-68.8510151018,-32.8858486741,5,"Residencial Sur",2423808.92355,0,"medio"
32301,"Morera","29/06/2011 09:31","Medio (4 - 8 mts)",45,"Mediano",-68.85265312,-32.8913274948,5,"Residencial Sur",2423808.92355,0,"bajo"
27545,"Fresno europeo","27/10/2011 09:05","Alto (> 8 mts)",150,"Grande",-68.8357661662,-32.8919911079,3,"Parque O'Higgins",1531146.02653,0,"alto"
15674,"Eucalyptus","15/11/2011 12:02","Medio (4 - 8 mts)",53,"Mediano",-68.8611641495,-32.8697085344,7,"Residencial Parque",1786336.08966,0,"bajo"
12867,"Caducifolio","19/01/2011 09:27","Medio (4 - 8 mts)",80,"Grande",-68.8460350675,-32.8643143739,4,"Cuarta Oeste",1173332.70145,0,"medio"
18618,"Paraiso","06/07/2011 11:25","Alto (> 8 mts)",185,"Grande",-68.8377244245,-32.8743977494,4,"Cuarta Oeste",1173332.70145,1,"muy alto"
10520,"Ailanthus","17/03/2011 11:36","Medio (4 - 8 mts)",50,"Mediano",-68.8589054451,-32.8754106934,7,"Residencial Parque",1786336.08966,0,"bajo"
22483,"Paraiso","23/06/2011 12:00","Alto (> 8 mts)",144,"Grande",-68.8622004528,-32.8985850268,5,"Residencial Sur",2423808.92355,0,"alto"
36304,"Pltano","04/04/2011 12:00","Medio (4 - 8 mts)",140,"Grande",-68.8535382493,-32.8766059048,6,"Residencial Norte",2694682.37982,0,"alto"
3756,"Paraiso","29/08/2011 11:46","Medio (4 - 8 mts)",60,"Mediano",-68.8183846219,-32.8698727146,4,"Cuarta Este Área Fundacional",1822015.85685,0,"medio"
3593,"Fresno europeo","01/09/2011 11:52","Bajo (2 - 4 mts)",16,"Chico",-68.8299172572,-32.8697979479,4,"Cuarta Este Área Fundacional",1822015.85685,0,"bajo"
31686,"Pltano","18/05/2011 12:42","Alto (> 8 mts)",190,"Grande",-68.8609590396,-32.8911039912,5,"Residencial Sur",2423808.92355,1,"muy alto"
38475,"Paraiso","03/11/2010 11:25","Medio (4 - 8 mts)",180,"Grande",-68.8515462104,-32.8702803097,6,"Residencial Norte",2694682.37982,0,"muy alto"
25981,"Morera","31/01/2011 12:27","Medio (4 - 8 mts)",135,"Grande",-68.8386697403,-32.9031478124,2,"Barrio Civico",2366816.36021,0,"alto"
35935,"Morera","23/03/2011 09:32","Alto (> 8 mts)",180,"Grande",-68.8541914987,-32.8761694313,6,"Residencial Norte",2694682.37982,0,"muy alto"
27572,"Morera","28/10/2011 11:19","Medio (4 - 8 mts)",77,"Grande",-68.8382766447,-32.8929633667,2,"Barrio Civico",2366816.36021,0,"medio"
4620,"Conifera","05/08/2011 09:17","Medio (4 - 8 mts)",18,"Chico",-68.833405445,-32.8646276,4,"Cuarta Oeste",1173332.70145,0,"bajo"
4387,"Prunas","26/07/2011 13:44","Medio (4 - 8 mts)",38,"Mediano",-68.83969746,-32.8689828242,4,"Cuarta Oeste",1173332.70145,0,"bajo"
2968,"Fresno europeo","16/09/2011 09:50","Medio (4 - 8 mts)",118,"Grande",-68.8245152697,-32.8714248854,4,"Cuarta Este Área Fundacional",1822015.85685,0,"alto"
21057,"Morera","23/06/2011 11:22","Alto (> 8 mts)",105,"Grande",-68.8635540994,-32.8993706213,5,"Residencial Sur",2423808.92355,0,"medio"
25181,"Morera","09/02/2011 17:18","Medio (4 - 8 mts)",102,"Grande",-68.8362548837,-32.8980487584,2,"Barrio Civico",2366816.36021,0,"medio"
9863,"Fresno europeo","09/02/2011 12:05","Medio (4 - 8 mts)",45,"Mediano",-68.8576582976,-32.865879405,6,"Residencial Norte",2694682.37982,0,"bajo"
12026,"Paraiso","28/04/2010 12:07","Medio (4 - 8 mts)",118,"Grande",-68.8531296274,-32.8666255295,6,"Residencial Norte",2694682.37982,0,"alto"
16651,"Paraiso","19/07/2011 12:12","Alto (> 8 mts)",158,"Grande",-68.8410283462,-32.8635010345,4,"Cuarta Oeste",1173332.70145,0,"muy alto"
28993,"Pltano","25/04/2011 08:56","Alto (> 8 mts)",180,"Grande",-68.8458578996,-32.8871189695,1,"Parque Central",1655357.93265,0,"muy alto"
4071,"Paraiso","04/10/2011 08:55","Medio (4 - 8 mts)",86,"Grande",-68.8281382926,-32.877966926,4,"Cuarta Este Área Fundacional",1822015.85685,0,"medio"
5499,"Fresno europeo","08/04/2011 12:24","Bajo (2 - 4 mts)",28,"Mediano",-68.8437576757,-32.8805210036,1,"Parque Central",1655357.93265,0,"bajo"
35115,"Paraiso","28/03/2011 12:12","Medio (4 - 8 mts)",120,"Grande",-68.8520132211,-32.8808955388,1,"Parque Central",1655357.93265,0,"alto"
41392,"Morera","15/04/2011 11:18","Alto (> 8 mts)",168,"Grande",-68.8414346449,-32.8819131196,1,"Parque Central",1655357.93265,0,"muy alto"
11567,"Paraiso","10/05/2010 11:41","Bajo (2 - 4 mts)",80,"Grande",-68.8518067425,-32.867549232,6,"Residencial Norte",2694682.37982,0,"medio"
21646,"Pltano","10/06/2011 08:47","Alto (> 8 mts)",220,"Grande",-68.8544263847,-32.8961190206,5,"Residencial Sur",2423808.92355,0,"muy alto"
35803,"Morera","21/03/2011 11:41","Alto (> 8 mts)",170,"Grande",-68.8537435421,-32.874510789,6,"Residencial Norte",2694682.37982,0,"muy alto"
35212,"Fresno europeo","23/03/2011 09:50","Alto (> 8 mts)",130,"Grande",-68.8525714888,-32.8814966597,1,"Parque Central",1655357.93265,0,"alto"
16909,"Morera","27/07/2011 10:53","Medio (4 - 8 mts)",38,"Mediano",-68.8390722063,-32.8663124137,4,"Cuarta Oeste",1173332.70145,0,"bajo"
31141,"Morera","08/02/2011 09:44","Medio (4 - 8 mts)",130,"Grande",-68.8549058087,-32.8643994564,6,"Residencial Norte",2694682.37982,0,"alto"
5208,"Morera","08/08/2011 09:52","Muy bajo (1 - 2 mts)",2,"Chico",-68.8390247366,-32.8686440937,4,"Cuarta Oeste",1173332.70145,0,"bajo"
42599,"Fresno europeo","23/09/2011 10:11","Medio (4 - 8 mts)",50,"Mediano",-68.8267716985,-32.876608128,4,"Cuarta Este Área Fundacional",1822015.85685,0,"bajo"
44499,"Pltano","17/10/2011 09:01","Alto (> 8 mts)",190,"Grande",-68.8353968925,-32.8837557725,3,"Parque O'Higgins",1531146.02653,0,"muy alto"
355,"Morera","07/03/2012 09:22","Medio (4 - 8 mts)",150,"Grande",-68.8209140217,-32.867157985,4,"Cuarta Este Área Fundacional",1822015.85685,0,"alto"
2147,"Morera","07/11/2011 10:40","Muy bajo (1 - 2 mts)",12,"Chico",-68.8399015707,-32.8949913072,2,"Barrio Civico",2366816.36021,0,"bajo"
45645,"Morera","21/09/2011 13:09","Alto (> 8 mts)",131,"Grande",-68.8215338914,-32.8721873362,4,"Cuarta Este Área Fundacional",1822015.85685,0,"alto"
47041,"Paraiso","15/09/2011 10:05","Bajo (2 - 4 mts)",25,"Mediano",-68.8319485143,-32.8722286315,4,"Cuarta Este Área Fundacional",1822015.85685,0,"bajo"
5429,"Morera","18/04/2011 12:41","Medio (4 - 8 mts)",60,"Mediano",-68.8428738599,-32.8794181114,1,"Parque Central",1655357.93265,0,"medio"
43428,"Pltano","26/10/2011 15:51","Alto (> 8 mts)",200,"Grande",-68.8323283865,-32.8805645743,3,"Parque O'Higgins",1531146.02653,0,"muy alto"
41753,"Morera","27/04/2011 12:49","Medio (4 - 8 mts)",140,"Grande",-68.8420227479,-32.8786403579,1,"Parque Central",1655357.93265,0,"alto"
1095,"Paraiso sombrilla","13/12/2011 18:27","Muy bajo (1 - 2 mts)",16,"Chico",-68.8804121803,-32.8675565357,8,"Aeroparque",2203364.73622,0,"bajo"
37214,"Pltano","14/03/2011 11:11","Medio (4 - 8 mts)",98,"Grande",-68.8584604651,-32.8725561838,6,"Residencial Norte",2694682.37982,0,"medio"
16406,"Pltano","02/08/2011 10:29","Medio (4 - 8 mts)",135,"Grande",-68.8357780561,-32.8667070129,4,"Cuarta Oeste",1173332.70145,1,"alto"
5053,"Morera","09/08/2011 12:10","Bajo (2 - 4 mts)",4,"Chico",-68.8390869652,-32.863645638,4,"Cuarta Oeste",1173332.70145,0,"bajo"
30213,"Pltano","09/03/2011 08:57","Alto (> 8 mts)",172,"Grande",-68.8419142858,-32.8897155275,2,"Barrio Civico",2366816.36021,0,"muy alto"
43462,"Acacia SP","03/10/2011 09:52","Alto (> 8 mts)",200,"Grande",-68.8322716336,-32.879491574,4,"Cuarta Este Área Fundacional",1822015.85685,0,"muy alto"
18250,"Fresno europeo","29/07/2011 09:38","Alto (> 8 mts)",140,"Grande",-68.8394917878,-32.8678216919,4,"Cuarta Oeste",1173332.70145,1,"alto"
20018,"Fresno americano","11/08/2011 09:26","Medio (4 - 8 mts)",125,"Grande",-68.8333873977,-32.8673751581,4,"Cuarta Oeste",1173332.70145,0,"alto"
25393,"lamo blanco","11/02/2011 09:33","Alto (> 8 mts)",104,"Grande",-68.8365282226,-32.8998717744,2,"Barrio Civico",2366816.36021,0,"medio"
45541,"Fresno europeo","16/09/2011 14:18","Medio (4 - 8 mts)",160,"Grande",-68.8205913522,-32.8727724495,4,"Cuarta Este Área Fundacional",1822015.85685,0,"muy alto"
7102,"Prunas","01/06/2011 11:53","Medio (4 - 8 mts)",80,"Grande",-68.8608029982,-32.8970480971,5,"Residencial Sur",2423808.92355,0,"medio"
34292,"Fresno europeo","04/03/2011 12:17","Medio (4 - 8 mts)",130,"Grande",-68.8521507941,-32.8744977356,6,"Residencial Norte",2694682.37982,0,"alto"
14351,"Morera","01/12/2011 13:08","Medio (4 - 8 mts)",96,"Grande",-68.8774642819,-32.865949125,8,"Aeroparque",2203364.73622,0,"medio"
6628,"Fresno europeo","11/05/2011 11:24","Muy bajo (1 - 2 mts)",8,"Chico",-68.8582943158,-32.8927802193,5,"Residencial Sur",2423808.92355,0,"bajo"
1768,"Acer","25/11/2011 10:23","Medio (4 - 8 mts)",60,"Mediano",-68.870531755,-32.8786401557,7,"Residencial Parque",1786336.08966,0,"medio"
28155,"Tipa","23/02/2011 16:26","Alto (> 8 mts)",88,"Grande",-68.8482598184,-32.8923219788,2,"Barrio Civico",2366816.36021,0,"medio"
9542,"Fresno europeo","08/02/2011 12:20","Medio (4 - 8 mts)",66,"Grande",-68.854869613,-32.8648060051,6,"Residencial Norte",2694682.37982,0,"medio"
45470,"Fresno europeo","19/09/2011 10:54","Medio (4 - 8 mts)",148,"Grande",-68.8231740217,-32.8717003351,4,"Cuarta Este Área Fundacional",1822015.85685,0,"alto"
47743,"Morera","16/09/2011 13:49","Alto (> 8 mts)",168,"Grande",-68.8269867406,-32.8731735149,4,"Cuarta Este Área Fundacional",1822015.85685,0,"muy alto"
40571,"Morera","15/04/2011 12:17","Alto (> 8 mts)",90,"Grande",-68.8459269266,-32.8845863014,1,"Parque Central",1655357.93265,0,"medio"
9261,"Fresno europeo","22/02/2011 11:45","Muy bajo (1 - 2 mts)",14,"Chico",-68.8471158192,-32.8656258949,6,"Residencial Norte",2694682.37982,0,"bajo"
6301,"Olmo comun","27/06/2011 11:43","Medio (4 - 8 mts)",80,"Grande",-68.8587795547,-32.8903687595,5,"Residencial Sur",2423808.92355,0,"medio"
10081,"Pltano","20/10/2010 13:03","Alto (> 8 mts)",160,"Grande",-68.8460688109,-32.8711297952,6,"Residencial Norte",2694682.37982,0,"muy alto"
5249,"Pltano","05/05/2011 11:28","Muy bajo (1 - 2 mts)",4,"Chico",-68.8408973122,-32.874810784,1,"Parque Central",1655357.93265,0,"bajo"
43674,"Morera","13/10/2011 17:15","Medio (4 - 8 mts)",84,"Grande",-68.8352041815,-32.8822145264,3,"Parque O'Higgins",1531146.02653,1,"medio"
34340,"Morera","28/03/2011 12:08","Medio (4 - 8 mts)",180,"Grande",-68.8517237304,-32.8747445295,6,"Residencial Norte",2694682.37982,0,"muy alto"
5121,"Acacia SP","08/08/2011 10:51","Bajo (2 - 4 mts)",14,"Chico",-68.843461644,-32.8699287726,4,"Cuarta Oeste",1173332.70145,0,"bajo"
3129,"Morera","09/09/2011 15:44","Medio (4 - 8 mts)",140,"Grande",-68.825939225,-32.8725069471,4,"Cuarta Este Área Fundacional",1822015.85685,0,"alto"
8428,"Morera","08/02/2011 16:02","Medio (4 - 8 mts)",62,"Grande",-68.8390588546,-32.9011810334,2,"Barrio Civico",2366816.36021,0,"medio"
33248,"Morera","30/06/2011 11:48","Medio (4 - 8 mts)",40,"Mediano",-68.855091516,-32.890069625,5,"Residencial Sur",2423808.92355,0,"bajo"
40026,"Morera","19/04/2011 09:34","Medio (4 - 8 mts)",120,"Grande",-68.8441605465,-32.8784112144,1,"Parque Central",1655357.93265,0,"alto"
17721,"Paraiso","18/07/2011 09:30","Medio (4 - 8 mts)",80,"Grande",-68.8424275469,-32.8673956629,4,"Cuarta Oeste",1173332.70145,0,"medio"
8905,"Acer","27/01/2011 10:16","Alto (> 8 mts)",116,"Grande",-68.8499005665,-32.8678023799,6,"Residencial Norte",2694682.37982,0,"alto"
34117,"Morera","09/03/2011 13:47","Alto (> 8 mts)",160,"Grande",-68.8554359493,-32.8730786444,6,"Residencial Norte",2694682.37982,0,"muy alto"
23559,"Fresno europeo","01/02/2011 16:11","Alto (> 8 mts)",112,"Grande",-68.8511579646,-32.9030775112,2,"Barrio Civico",2366816.36021,0,"alto"
35390,"Fresno europeo","21/06/2011 13:06","Bajo (2 - 4 mts)",28,"Mediano",-68.8556258166,-32.8822190811,5,"Residencial Sur",2423808.92355,0,"bajo"
48143,"Olmo comun","17/08/2011 10:44","Medio (4 - 8 mts)",90,"Grande",-68.8302440332,-32.8677724676,4,"Cuarta Este Área Fundacional",1822015.85685,0,"medio"
26154,"Morera","14/11/2011 18:26","Medio (4 - 8 mts)",170,"Grande",-68.8296000441,-32.8876888533,3,"Parque O'Higgins",1531146.02653,0,"muy alto"
3120,"Fresno europeo","15/09/2011 09:57","Medio (4 - 8 mts)",44,"Mediano",-68.8292861893,-32.8725212167,4,"Cuarta Este Área Fundacional",1822015.85685,0,"bajo"
48060,"Morera","27/09/2011 11:17","Alto (> 8 mts)",150,"Grande",-68.8264675634,-32.8665260477,4,"Cuarta Este Área Fundacional",1822015.85685,0,"alto"
35378,"Pltano","21/06/2011 14:50","Medio (4 - 8 mts)",130,"Grande",-68.8546276821,-32.8822252251,5,"Residencial Sur",2423808.92355,0,"alto"
31784,"Fresno americano","27/06/2011 10:58","Medio (4 - 8 mts)",115,"Grande",-68.8589045734,-32.8895471637,5,"Residencial Sur",2423808.92355,0,"alto"
46984,"Paraiso","07/09/2011 12:21","Bajo (2 - 4 mts)",20,"Chico",-68.8309654596,-32.8718331802,4,"Cuarta Este Área Fundacional",1822015.85685,0,"bajo"
21768,"Morera","23/05/2011 09:03","Alto (> 8 mts)",112,"Grande",-68.8565164276,-32.895034043,5,"Residencial Sur",2423808.92355,0,"alto"
27783,"Fresno americano","03/11/2011 10:25","Medio (4 - 8 mts)",45,"Mediano",-68.835142087,-32.8944220217,3,"Parque O'Higgins",1531146.02653,0,"bajo"
15263,"lamo blanco","21/11/2011 12:46","Medio (4 - 8 mts)",90,"Grande",-68.8586228182,-32.8699390377,6,"Residencial Norte",2694682.37982,0,"medio"
33553,"Morera","30/05/2011 10:34","Alto (> 8 mts)",145,"Grande",-68.8541633703,-32.888019271,5,"Residencial Sur",2423808.92355,0,"alto"
8704,"Morera","10/02/2011 13:56","Bajo (2 - 4 mts)",20,"Chico",-68.8389584291,-32.9004655205,2,"Barrio Civico",2366816.36021,0,"bajo"
5151,"Acacia SP","08/08/2011 10:27","Bajo (2 - 4 mts)",5,"Chico",-68.8435084281,-32.8702296346,4,"Cuarta Oeste",1173332.70145,0,"bajo"
40162,"Morera","14/04/2011 10:10","Medio (4 - 8 mts)",130,"Grande",-68.8445671012,-32.8799667802,1,"Parque Central",1655357.93265,0,"alto"
44479,"Pltano","17/10/2011 12:36","Alto (> 8 mts)",210,"Grande",-68.8364809434,-32.8846237207,3,"Parque O'Higgins",1531146.02653,0,"muy alto"
1238,"Jacarand","29/11/2011 13:18","Alto (> 8 mts)",90,"Grande",-68.876386435,-32.8654323643,8,"Aeroparque",2203364.73622,0,"medio"
28284,"Morera","10/03/2011 17:19","Alto (> 8 mts)",122,"Grande",-68.8505263444,-32.8924806948,5,"Residencial Sur",2423808.92355,0,"alto"
35407,"Morera","17/06/2011 16:52","Muy bajo (1 - 2 mts)",16,"Chico",-68.855959231,-32.8834556331,5,"Residencial Sur",2423808.92355,0,"bajo"
13113,"Paraiso","18/02/2011 09:25","Medio (4 - 8 mts)",130,"Grande",-68.8454612246,-32.86581862,4,"Cuarta Oeste",1173332.70145,1,"alto"
33313,"Paraiso","24/06/2011 10:09","Medio (4 - 8 mts)",40,"Mediano",-68.8577102152,-32.8905696246,5,"Residencial Sur",2423808.92355,0,"bajo"
32876,"Morera","10/06/2011 10:34","Medio (4 - 8 mts)",120,"Grande",-68.8505944837,-32.8853767974,5,"Residencial Sur",2423808.92355,0,"alto"
2726,"Acer","14/10/2011 11:31","Medio (4 - 8 mts)",68,"Grande",-68.8311649665,-32.8850992917,3,"Parque O'Higgins",1531146.02653,0,"medio"
25661,"Morera","07/02/2011 10:04","Alto (> 8 mts)",102,"Grande",-68.8416792265,-32.9014136055,2,"Barrio Civico",2366816.36021,0,"medio"
9182,"Paraiso","02/03/2011 09:25","Alto (> 8 mts)",106,"Grande",-68.8510410952,-32.8659075002,6,"Residencial Norte",2694682.37982,0,"medio"
23346,"Morera","31/01/2011 16:16","Bajo (2 - 4 mts)",58,"Mediano",-68.8509475038,-32.90149216,2,"Barrio Civico",2366816.36021,0,"bajo"
30275,"Pltano","04/03/2011 13:00","Alto (> 8 mts)",228,"Grande",-68.8417423058,-32.8896613185,3,"Parque O'Higgins",1531146.02653,0,"muy alto"
32505,"Morera","27/05/2011 10:08","Alto (> 8 mts)",150,"Grande",-68.8530093427,-32.8882378426,5,"Residencial Sur",2423808.92355,0,"alto"
35601,"Morera","16/03/2011 13:21","Medio (4 - 8 mts)",88,"Grande",-68.8563715165,-32.8741790352,6,"Residencial Norte",2694682.37982,0,"medio"
14337,"Paraiso sombrilla","01/12/2011 12:51","Bajo (2 - 4 mts)",80,"Grande",-68.8777490916,-32.8670169092,8,"Aeroparque",2203364.73622,0,"medio"
20571,"Paraiso","30/05/2011 14:02","Medio (4 - 8 mts)",120,"Grande",-68.8623856092,-32.8980095914,5,"Residencial Sur",2423808.92355,1,"alto"
44694,"Morera","19/08/2011 09:56","Alto (> 8 mts)",220,"Grande",-68.8233153914,-32.867316583,4,"Cuarta Este Área Fundacional",1822015.85685,0,"muy alto"
30875,"Fresno europeo","15/02/2011 13:27","Medio (4 - 8 mts)",62,"Grande",-68.8551955619,-32.8654280458,6,"Residencial Norte",2694682.37982,0,"medio"
45126,"Paraiso","01/09/2011 14:04","Alto (> 8 mts)",146,"Grande",-68.8235675558,-32.8702315932,4,"Cuarta Este Área Fundacional",1822015.85685,0,"alto"
20314,"Fresno europeo","16/05/2011 09:32","Alto (> 8 mts)",106,"Grande",-68.8614297051,-32.8925779209,5,"Residencial Sur",2423808.92355,0,"medio"
7339,"Fresno europeo","21/06/2011 11:03","Alto (> 8 mts)",90,"Grande",-68.8604836072,-32.9004982828,5,"Residencial Sur",2423808.92355,0,"medio"
7754,"Fresno europeo","17/05/2011 13:04","Muy bajo (1 - 2 mts)",7,"Chico",-68.8534083873,-32.8867171394,5,"Residencial Sur",2423808.92355,0,"bajo"
10726,"Pltano","06/04/2011 10:03","Alto (> 8 mts)",130,"Grande",-68.8583448281,-32.8756991834,7,"Residencial Parque",1786336.08966,0,"alto"
11219,"Morera","13/01/2011 10:30","Alto (> 8 mts)",161,"Grande",-68.8460616443,-32.9004878872,2,"Barrio Civico",2366816.36021,0,"muy alto"
9164,"Acer","01/03/2011 13:27","Bajo (2 - 4 mts)",20,"Chico",-68.8511932345,-32.8660482781,6,"Residencial Norte",2694682.37982,0,"bajo"
32461,"Morera","26/05/2011 09:48","Alto (> 8 mts)",175,"Grande",-68.851733331,-32.8884796128,5,"Residencial Sur",2423808.92355,1,"muy alto"
2148,"Morera","07/11/2011 10:39","Alto (> 8 mts)",142,"Grande",-68.8397727645,-32.8950127702,2,"Barrio Civico",2366816.36021,1,"alto"
153,"Jacarand","27/02/2012 17:51","Medio (4 - 8 mts)",56,"Mediano",-68.8576246578,-32.8641856357,6,"Residencial Norte",2694682.37982,0,"bajo"
21203,"Morera","10/05/2011 11:14","Alto (> 8 mts)",112,"Grande",-68.8525770519,-32.8959162278,5,"Residencial Sur",2423808.92355,0,"alto"
24795,"Pltano","17/02/2011 12:17","Alto (> 8 mts)",230,"Grande",-68.8411779829,-32.8978941937,2,"Barrio Civico",2366816.36021,0,"muy alto"
2758,"Fresno europeo","12/10/2011 17:14","Medio (4 - 8 mts)",40,"Mediano",-68.8352900497,-32.8810871857,1,"Parque Central",1655357.93265,0,"bajo"
30200,"Fresno europeo","09/03/2011 09:39","Alto (> 8 mts)",200,"Grande",-68.8424057356,-32.8890002398,3,"Parque O'Higgins",1531146.02653,0,"muy alto"
12021,"Paraiso","28/04/2010 11:48","Medio (4 - 8 mts)",52,"Mediano",-68.8527966922,-32.8666063667,6,"Residencial Norte",2694682.37982,0,"bajo"
14131,"Paraiso","01/12/2011 12:58","Medio (4 - 8 mts)",120,"Grande",-68.8769031827,-32.867820841,8,"Aeroparque",2203364.73622,0,"alto"
22611,"Morera","23/06/2011 10:21","Alto (> 8 mts)",128,"Grande",-68.8624783402,-32.9009422613,5,"Residencial Sur",2423808.92355,1,"alto"
23073,"Fresno europeo","13/01/2011 14:26","Bajo (2 - 4 mts)",45,"Mediano",-68.8472326951,-32.9014801852,2,"Barrio Civico",2366816.36021,0,"bajo"
42137,"Braquiquito","04/05/2011 11:16","Medio (4 - 8 mts)",70,"Grande",-68.8412155818,-32.8768745598,1,"Parque Central",1655357.93265,0,"medio"
